
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.05
8                      25.22
16                     20.35
32                     20.52
64                     20.61
128                    41.66
256                    43.51
512                    42.77
1024                   43.18
2048                   45.30
4096                   46.75
8192                   47.31
16384                  54.34
32768                  66.70
65536                  83.26
131072                133.60
262144                198.44
524288                355.12
1048576               647.80
