
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.27
8                      20.02
16                     19.95
32                     20.14
64                     20.25
128                    40.66
256                    41.31
512                    42.04
1024                   43.20
2048                   43.81
4096                   44.78
8192                   46.19
16384                  53.76
32768                  65.36
65536                  83.88
131072                133.50
262144                196.13
524288                344.67
1048576               648.26
