
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.43
8                      20.57
16                     20.36
32                     20.60
64                     21.82
128                    51.85
256                    45.02
512                    44.45
1024                   51.70
2048                   45.03
4096                   46.97
8192                   47.47
16384                  54.57
32768                  66.67
65536                  85.27
131072                138.67
262144                200.50
524288                424.53
1048576               689.52
