
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.32
8                      20.07
16                     20.07
32                     20.26
64                     20.23
128                    40.47
256                    41.45
512                    42.15
1024                   43.17
2048                   43.78
4096                   44.81
8192                   46.16
16384                  53.91
32768                  64.87
65536                  83.10
131072                132.65
262144                199.50
524288                352.91
1048576               648.14
