
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.35
8                      86.82
16                     66.02
32                     55.91
64                     68.41
128                   190.58
256                   210.30
512                   144.95
1024                  124.27
2048                  179.00
4096                  159.36
8192                  208.64
16384                 252.29
32768                 226.11
65536                 293.45
131072                641.35
262144                647.86
524288               1887.78
1048576              2673.04

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.68
8                      50.52
16                     49.94
32                     50.66
64                    354.62
128                   256.07
256                   101.53
512                   259.28
1024                  105.12
2048                  102.61
4096                  351.75
8192                  116.96
16384                 129.66
32768                 576.79
65536                 207.82
131072                734.46
262144                978.41
524288               1645.55
1048576              2929.00
