
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      92.16
8                     102.95
16                     90.81
32                     94.11
64                     87.75
128                    90.71
256                    89.25
512                    90.00
1024                   91.53
2048                   95.21
4096                  114.03
8192                  138.53
16384                 159.79
32768                 212.84
65536                 259.81
131072                683.23
262144                333.42
524288                559.59
1048576               839.10
