# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.61
4                       7.37
8                      14.76
16                     29.43
32                     59.00
64                    107.33
128                   213.98
256                   422.18
512                   825.74
1024                 1518.58
2048                 2572.73
4096                 4361.54
8192                 7153.81
16384                8446.60
32768                9979.73
65536               10867.25
131072              13428.47
262144              13667.03
524288              13763.45
1048576             23699.49
2097152             23939.68
4194304             24222.10
