# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.47
2                       7.48
4                       7.48
8                       7.77
16                      7.78
32                      7.78
64                      7.89
128                     7.90
256                     7.90
512                     7.96
1024                    8.06
2048                    8.33
4096                    8.77
8192                    9.56
16384                  10.24
32768                  11.45
65536                  14.11
131072                 34.06
262144                 44.21
524288                 80.85
1048576                78.05
2097152               156.89
4194304               239.76
