
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     109.51
8                     109.66
16                    109.00
32                    108.79
64                    110.54
128                   111.80
256                   111.97
512                   113.79
1024                  115.50
2048                   99.63
4096                  150.95
8192                  184.44
16384                 183.53
32768                 205.38
65536                 213.75
131072                269.58
262144                357.32
524288                534.79
1048576               870.39
