# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.63
4                       7.39
8                      14.72
16                     29.73
32                     59.28
64                    108.61
128                   215.94
256                   428.12
512                   832.62
1024                 1544.63
2048                 2592.18
4096                 4390.10
8192                 7104.59
16384                8602.69
32768                9918.09
65536               11340.41
131072              13596.34
262144              13804.19
524288              13933.08
1048576             23767.15
2097152             23970.73
4194304             24192.75
