# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.36
1                      10.41
2                      10.40
4                      10.38
8                      10.70
16                     10.70
32                     10.71
64                     10.82
128                    10.86
256                    10.85
512                    10.91
1024                   11.04
2048                   11.31
4096                   11.89
8192                   13.07
16384                  13.65
32768                  14.96
65536                  17.38
131072                 43.99
262144                 54.33
524288                 97.95
1048576                87.23
2097152               166.52
4194304               254.80
