
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      40.36
8                      43.63
16                     57.12
32                     42.25
64                     46.45
128                    39.20
256                    41.22
512                    41.09
1024                   44.60
2048                   45.23
4096                   70.53
8192                   98.80
16384                 124.17
32768                 165.44
65536                 246.80
131072                476.80
262144                266.92
524288                429.34
1048576               767.28
