# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.68
2                       3.49
4                       7.30
8                      14.68
16                     29.50
32                     58.94
64                    108.33
128                   215.67
256                   428.06
512                   837.41
1024                 1548.36
2048                 2596.92
4096                 4374.05
8192                 7218.84
16384                8550.56
32768               10080.94
65536               11476.09
131072              13703.42
262144              13897.18
524288              13985.23
1048576             23698.52
2097152             24001.49
4194304             24211.59
