# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.38
1                      10.40
2                      10.40
4                      10.38
8                      10.71
16                     10.72
32                     10.72
64                     10.84
128                    10.86
256                    10.87
512                    10.94
1024                   11.04
2048                   11.33
4096                   11.91
8192                   13.11
16384                  13.69
32768                  14.89
65536                  17.35
131072                 43.87
262144                 53.98
524288                 97.36
1048576                87.10
2097152               165.30
4194304               253.83
