
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     108.46
8                     108.85
16                    108.77
32                    110.12
64                    110.11
128                   109.94
256                   111.66
512                   113.59
1024                  117.02
2048                   94.02
4096                  155.03
8192                  189.14
16384                 184.75
32768                 198.85
65536                 218.15
131072                292.42
262144                365.27
524288                538.11
1048576               877.15
