# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.58
4                       7.23
8                      14.50
16                     29.14
32                     58.22
64                    106.65
128                   212.71
256                   420.18
512                   818.54
1024                 1513.51
2048                 2558.33
4096                 4299.01
8192                 7187.91
16384                8432.20
32768                9991.52
65536               10865.49
131072              13489.73
262144              13715.64
524288              13860.73
1048576             23669.09
2097152             23995.38
4194304             24195.85
