# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.36
1                      10.39
2                      10.38
4                      10.37
8                      10.69
16                     10.70
32                     10.71
64                     10.81
128                    10.83
256                    10.84
512                    10.89
1024                   10.99
2048                   11.29
4096                   11.94
8192                   13.08
16384                  13.69
32768                  14.98
65536                  17.62
131072                 44.01
262144                 54.24
524288                 97.31
1048576                86.87
2097152               165.07
4194304               255.07
