Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     286.34
8                     243.96
16                    346.22
32                    297.52
64                    115.77
128                   325.09
256                   238.60
512                   404.90
1024                  333.83
2048                  290.70
4096                  348.53
8192                  336.96
16384                 509.32
32768                 492.77
65536                 788.12
131072               2624.26
262144               2843.61
524288               2832.18
1048576              6714.38
