Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.33
2                       2.80
4                       5.69
8                      11.33
16                     22.82
32                     45.48
64                     84.75
128                   168.95
256                   336.19
512                   657.90
1024                 1241.07
2048                 2152.30
4096                 3691.01
8192                 6187.37
16384                7879.21
32768                9807.16
65536               11150.16
131072              13374.75
262144              13727.18
524288              14016.10
1048576             23371.67
2097152             23753.92
4194304             24132.92
