Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.59
1                      12.62
2                      12.59
4                      12.59
8                      12.90
16                     12.90
32                     12.92
64                     13.01
128                    13.04
256                    13.07
512                    13.12
1024                   13.25
2048                   13.60
4096                   14.62
8192                   16.41
16384                  17.04
32768                  18.29
65536                  20.91
131072                 53.32
262144                 63.23
524288                112.10
1048576                94.89
2097152               168.29
4194304               264.44
