,ranks,experiment,iteration,time_seconds,nodes,percent_cpu_utilization
0,128,bare-metal,9,47.0,8,99.7
1,256,bare-metal,8,25.0,16,99.6
2,128,bare-metal,18,47.0,8,99.6
3,64,bare-metal,7,82.0,4,99.8
4,512,bare-metal,7,14.0,32,99.5
5,256,bare-metal,6,25.0,16,99.6
6,128,bare-metal,5,45.0,8,99.7
7,128,bare-metal,4,45.0,8,99.7
8,256,bare-metal,4,26.0,16,99.6
9,256,bare-metal,20,25.0,16,99.6
10,64,bare-metal,4,82.0,4,99.8
11,256,bare-metal,2,25.0,16,99.6
12,64,bare-metal,6,82.0,4,99.8
13,256,bare-metal,17,25.0,16,99.6
14,256,bare-metal,9,25.0,16,99.6
15,256,bare-metal,16,27.0,16,99.6
16,256,bare-metal,18,25.0,16,99.6
17,512,bare-metal,20,14.0,32,99.5
18,64,bare-metal,14,82.0,4,99.8
19,64,bare-metal,9,82.0,4,99.8
20,256,bare-metal,15,25.0,16,99.6
21,256,bare-metal,11,25.0,16,99.6
22,64,bare-metal,8,82.0,4,99.8
23,64,bare-metal,12,82.0,4,99.8
24,512,bare-metal,10,14.0,32,99.5
25,256,bare-metal,12,25.0,16,99.6
26,256,bare-metal,13,25.0,16,99.6
27,128,bare-metal,20,45.0,8,99.7
28,64,bare-metal,2,82.0,4,99.8
29,64,bare-metal,10,82.0,4,99.8
30,128,bare-metal,2,45.0,8,99.7
31,64,bare-metal,13,82.0,4,99.8
32,128,bare-metal,14,45.0,8,99.7
33,256,bare-metal,3,25.0,16,99.6
34,64,bare-metal,19,82.0,4,99.8
35,128,bare-metal,17,45.0,8,99.7
36,64,bare-metal,20,82.0,4,99.8
37,64,bare-metal,18,82.0,4,99.8
38,512,bare-metal,11,14.0,32,99.5
39,512,bare-metal,12,14.0,32,99.5
40,512,bare-metal,17,14.0,32,99.5
41,512,bare-metal,8,15.0,32,99.5
42,128,bare-metal,6,45.0,8,99.7
43,128,bare-metal,8,45.0,8,99.7
44,512,bare-metal,13,14.0,32,99.5
45,512,bare-metal,9,14.0,32,99.5
46,256,bare-metal,14,25.0,16,99.6
47,64,bare-metal,16,82.0,4,99.8
48,64,bare-metal,15,82.0,4,99.8
49,128,bare-metal,7,45.0,8,99.7
50,64,bare-metal,1,82.0,4,99.8
51,256,bare-metal,7,25.0,16,99.6
52,512,bare-metal,18,14.0,32,99.5
53,512,bare-metal,19,14.0,32,99.5
54,128,bare-metal,16,45.0,8,99.7
55,256,bare-metal,5,25.0,16,99.6
56,256,bare-metal,10,25.0,16,99.6
57,64,bare-metal,3,82.0,4,99.8
58,256,bare-metal,19,25.0,16,99.6
59,128,bare-metal,19,45.0,8,99.7
