experiment,nodes,size,ranks,iteration,average_latency_us
bare-metal,4,4.0,64.0,10.5,32.121500000000005
bare-metal,4,8.0,64.0,10.5,32.283
bare-metal,4,16.0,64.0,10.5,32.24050000000001
bare-metal,4,32.0,64.0,10.5,32.251000000000005
bare-metal,4,64.0,64.0,10.5,32.337999999999994
bare-metal,4,128.0,64.0,10.5,32.798
bare-metal,4,256.0,64.0,10.5,33.6105
bare-metal,4,512.0,64.0,10.5,33.913
bare-metal,4,1024.0,64.0,10.5,35.083499999999994
bare-metal,4,2048.0,64.0,10.5,36.985
bare-metal,4,4096.0,64.0,10.5,62.568
bare-metal,4,8192.0,64.0,10.5,87.1235
bare-metal,4,16384.0,64.0,10.5,109.0925
bare-metal,4,32768.0,64.0,10.5,148.7405
bare-metal,4,65536.0,64.0,10.5,230.195
bare-metal,4,131072.0,64.0,10.5,449.69350000000003
bare-metal,4,262144.0,64.0,10.5,249.15249999999997
bare-metal,4,524288.0,64.0,10.5,400.98449999999997
bare-metal,4,1048576.0,64.0,10.5,704.7220000000001
bare-metal,8,4.0,128.0,10.5,87.58399999999999
bare-metal,8,8.0,128.0,10.5,83.90750000000001
bare-metal,8,16.0,128.0,10.5,99.24100000000001
bare-metal,8,32.0,128.0,10.5,92.15499999999999
bare-metal,8,64.0,128.0,10.5,99.83800000000001
bare-metal,8,128.0,128.0,10.5,88.3
bare-metal,8,256.0,128.0,10.5,86.54650000000001
bare-metal,8,512.0,128.0,10.5,95.98250000000002
bare-metal,8,1024.0,128.0,10.5,91.27550000000001
bare-metal,8,2048.0,128.0,10.5,92.72200000000001
bare-metal,8,4096.0,128.0,10.5,103.42
bare-metal,8,8192.0,128.0,10.5,131.03599999999997
bare-metal,8,16384.0,128.0,10.5,156.1995
bare-metal,8,32768.0,128.0,10.5,211.15
bare-metal,8,65536.0,128.0,10.5,256.11
bare-metal,8,131072.0,128.0,10.5,630.7349999999999
bare-metal,8,262144.0,128.0,10.5,314.5
bare-metal,8,524288.0,128.0,10.5,514.2384999999999
bare-metal,8,1048576.0,128.0,10.5,861.7830000000001
bare-metal,16,4.0,256.0,10.5,89.50500000000001
bare-metal,16,8.0,256.0,10.5,90.12100000000001
bare-metal,16,16.0,256.0,10.5,95.43249999999998
bare-metal,16,32.0,256.0,10.5,90.6695
bare-metal,16,64.0,256.0,10.5,93.985
bare-metal,16,128.0,256.0,10.5,91.3445
bare-metal,16,256.0,256.0,10.5,93.2075
bare-metal,16,512.0,256.0,10.5,95.76899999999998
bare-metal,16,1024.0,256.0,10.5,104.13700000000001
bare-metal,16,2048.0,256.0,10.5,103.8355
bare-metal,16,4096.0,256.0,10.5,134.78050000000002
bare-metal,16,8192.0,256.0,10.5,136.4475
bare-metal,16,16384.0,256.0,10.5,144.1145
bare-metal,16,32768.0,256.0,10.5,168.24349999999998
bare-metal,16,65536.0,256.0,10.5,171.68399999999997
bare-metal,16,131072.0,256.0,10.5,227.41749999999996
bare-metal,16,262144.0,256.0,10.5,315.81199999999995
bare-metal,16,524288.0,256.0,10.5,496.5255
bare-metal,16,1048576.0,256.0,10.5,836.3965000000001
bare-metal,32,4.0,512.0,10.5,101.69449999999999
bare-metal,32,8.0,512.0,10.5,101.72649999999999
bare-metal,32,16.0,512.0,10.5,101.785
bare-metal,32,32.0,512.0,10.5,102.65450000000001
bare-metal,32,64.0,512.0,10.5,103.65450000000001
bare-metal,32,128.0,512.0,10.5,103.38
bare-metal,32,256.0,512.0,10.5,104.8375
bare-metal,32,512.0,512.0,10.5,106.53300000000002
bare-metal,32,1024.0,512.0,10.5,109.7485
bare-metal,32,2048.0,512.0,10.5,96.06199999999998
bare-metal,32,4096.0,512.0,10.5,154.523
bare-metal,32,8192.0,512.0,10.5,187.78650000000002
bare-metal,32,16384.0,512.0,10.5,190.33050000000003
bare-metal,32,32768.0,512.0,10.5,200.59949999999998
bare-metal,32,65536.0,512.0,10.5,223.17850000000004
bare-metal,32,131072.0,512.0,10.5,273.8465
bare-metal,32,262144.0,512.0,10.5,359.9225
bare-metal,32,524288.0,512.0,10.5,538.1995
bare-metal,32,1048576.0,512.0,10.5,879.0455000000002
bare-metal-with-usernetes,4,4.0,64.0,10.5,34.375
bare-metal-with-usernetes,4,8.0,64.0,10.5,33.793499999999995
bare-metal-with-usernetes,4,16.0,64.0,10.5,34.0345
bare-metal-with-usernetes,4,32.0,64.0,10.5,34.517
bare-metal-with-usernetes,4,64.0,64.0,10.5,34.3095
bare-metal-with-usernetes,4,128.0,64.0,10.5,34.666
bare-metal-with-usernetes,4,256.0,64.0,10.5,37.086
bare-metal-with-usernetes,4,512.0,64.0,10.5,37.915
bare-metal-with-usernetes,4,1024.0,64.0,10.5,38.489999999999995
bare-metal-with-usernetes,4,2048.0,64.0,10.5,39.5
bare-metal-with-usernetes,4,4096.0,64.0,10.5,65.7365
bare-metal-with-usernetes,4,8192.0,64.0,10.5,90.725
bare-metal-with-usernetes,4,16384.0,64.0,10.5,113.7835
bare-metal-with-usernetes,4,32768.0,64.0,10.5,156.435
bare-metal-with-usernetes,4,65536.0,64.0,10.5,244.9065
bare-metal-with-usernetes,4,131072.0,64.0,10.5,463.66150000000005
bare-metal-with-usernetes,4,262144.0,64.0,10.5,272.956
bare-metal-with-usernetes,4,524288.0,64.0,10.5,435.21449999999993
bare-metal-with-usernetes,4,1048576.0,64.0,10.5,754.2740000000001
bare-metal-with-usernetes,8,4.0,128.0,10.5,91.09949999999999
bare-metal-with-usernetes,8,8.0,128.0,10.5,93.95100000000001
bare-metal-with-usernetes,8,16.0,128.0,10.5,90.0415
bare-metal-with-usernetes,8,32.0,128.0,10.5,92.3355
bare-metal-with-usernetes,8,64.0,128.0,10.5,90.60299999999998
bare-metal-with-usernetes,8,128.0,128.0,10.5,90.988
bare-metal-with-usernetes,8,256.0,128.0,10.5,93.1485
bare-metal-with-usernetes,8,512.0,128.0,10.5,94.957
bare-metal-with-usernetes,8,1024.0,128.0,10.5,96.179
bare-metal-with-usernetes,8,2048.0,128.0,10.5,102.6385
bare-metal-with-usernetes,8,4096.0,128.0,10.5,112.03
