experiment,nodes,size,ranks,iteration,average_latency_us
bare-metal,2,1.0,2.0,10.5,1.7119999999999997
bare-metal,2,2.0,2.0,10.5,3.6144999999999996
bare-metal,2,4.0,2.0,10.5,7.3115000000000006
bare-metal,2,8.0,2.0,10.5,14.6865
bare-metal,2,16.0,2.0,10.5,29.445999999999998
bare-metal,2,32.0,2.0,10.5,58.876
bare-metal,2,64.0,2.0,10.5,108.436
bare-metal,2,128.0,2.0,10.5,215.853
bare-metal,2,256.0,2.0,10.5,427.267
bare-metal,2,512.0,2.0,10.5,834.6755
bare-metal,2,1024.0,2.0,10.5,1543.1065
bare-metal,2,2048.0,2.0,10.5,2596.6925
bare-metal,2,4096.0,2.0,10.5,4377.8725
bare-metal,2,8192.0,2.0,10.5,7220.056499999999
bare-metal,2,16384.0,2.0,10.5,8545.6415
bare-metal,2,32768.0,2.0,10.5,10113.696
bare-metal,2,65536.0,2.0,10.5,11257.478500000001
bare-metal,2,131072.0,2.0,10.5,13611.329000000002
bare-metal,2,262144.0,2.0,10.5,13804.7535
bare-metal,2,524288.0,2.0,10.5,13949.628499999997
bare-metal,2,1048576.0,2.0,10.5,23699.503000000004
bare-metal,2,2097152.0,2.0,10.5,23971.781499999997
bare-metal,2,4194304.0,2.0,10.5,24201.806499999995
bare-metal-with-usernetes,2,1.0,2.0,10.5,1.716
bare-metal-with-usernetes,2,2.0,2.0,10.5,3.5915
bare-metal-with-usernetes,2,4.0,2.0,10.5,7.3375
bare-metal-with-usernetes,2,8.0,2.0,10.5,14.7065
bare-metal-with-usernetes,2,16.0,2.0,10.5,29.441499999999998
bare-metal-with-usernetes,2,32.0,2.0,10.5,58.965500000000006
bare-metal-with-usernetes,2,64.0,2.0,10.5,107.84599999999998
bare-metal-with-usernetes,2,128.0,2.0,10.5,214.71700000000004
bare-metal-with-usernetes,2,256.0,2.0,10.5,425.14849999999996
bare-metal-with-usernetes,2,512.0,2.0,10.5,830.0709999999999
bare-metal-with-usernetes,2,1024.0,2.0,10.5,1531.3790000000001
bare-metal-with-usernetes,2,2048.0,2.0,10.5,2584.4110000000005
bare-metal-with-usernetes,2,4096.0,2.0,10.5,4354.711499999999
bare-metal-with-usernetes,2,8192.0,2.0,10.5,7166.6055
bare-metal-with-usernetes,2,16384.0,2.0,10.5,8498.531
bare-metal-with-usernetes,2,32768.0,2.0,10.5,10004.573
bare-metal-with-usernetes,2,65536.0,2.0,10.5,11236.857
bare-metal-with-usernetes,2,131072.0,2.0,10.5,13517.205000000002
bare-metal-with-usernetes,2,262144.0,2.0,10.5,13730.445000000002
bare-metal-with-usernetes,2,524288.0,2.0,10.5,13855.903500000004
