experiment,nodes,size,ranks,iteration,average_latency_us
bare-metal,2,0.0,2.0,10.5,7.4595
bare-metal,2,1.0,2.0,10.5,7.4864999999999995
bare-metal,2,2.0,2.0,10.5,7.472500000000001
bare-metal,2,4.0,2.0,10.5,7.476000000000001
bare-metal,2,8.0,2.0,10.5,7.776500000000001
bare-metal,2,16.0,2.0,10.5,7.776500000000001
bare-metal,2,32.0,2.0,10.5,7.779000000000001
bare-metal,2,64.0,2.0,10.5,7.890500000000001
bare-metal,2,128.0,2.0,10.5,7.902499999999999
bare-metal,2,256.0,2.0,10.5,7.915499999999997
bare-metal,2,512.0,2.0,10.5,7.954999999999998
bare-metal,2,1024.0,2.0,10.5,8.053999999999998
bare-metal,2,2048.0,2.0,10.5,8.330500000000002
bare-metal,2,4096.0,2.0,10.5,8.7575
bare-metal,2,8192.0,2.0,10.5,9.569000000000003
bare-metal,2,16384.0,2.0,10.5,10.161999999999997
bare-metal,2,32768.0,2.0,10.5,11.389000000000003
bare-metal,2,65536.0,2.0,10.5,13.985499999999998
bare-metal,2,131072.0,2.0,10.5,33.931000000000004
bare-metal,2,262144.0,2.0,10.5,44.0675
bare-metal,2,524288.0,2.0,10.5,80.7285
bare-metal,2,1048576.0,2.0,10.5,77.86449999999999
bare-metal,2,2097152.0,2.0,10.5,156.3665
bare-metal,2,4194304.0,2.0,10.5,239.3435
bare-metal-with-usernetes,2,0.0,2.0,10.5,7.469000000000001
bare-metal-with-usernetes,2,1.0,2.0,10.5,7.4944999999999995
bare-metal-with-usernetes,2,2.0,2.0,10.5,7.4799999999999995
bare-metal-with-usernetes,2,4.0,2.0,10.5,7.484999999999999
bare-metal-with-usernetes,2,8.0,2.0,10.5,7.784000000000001
bare-metal-with-usernetes,2,16.0,2.0,10.5,7.787500000000001
bare-metal-with-usernetes,2,32.0,2.0,10.5,7.789500000000001
bare-metal-with-usernetes,2,64.0,2.0,10.5,7.901999999999999
bare-metal-with-usernetes,2,128.0,2.0,10.5,7.9140000000000015
bare-metal-with-usernetes,2,256.0,2.0,10.5,7.9305
bare-metal-with-usernetes,2,512.0,2.0,10.5,7.967999999999999
bare-metal-with-usernetes,2,1024.0,2.0,10.5,8.065000000000001
bare-metal-with-usernetes,2,2048.0,2.0,10.5,8.335000000000003
bare-metal-with-usernetes,2,4096.0,2.0,10.5,8.764499999999998
bare-metal-with-usernetes,2,8192.0,2.0,10.5,9.5765
bare-metal-with-usernetes,2,16384.0,2.0,10.5,10.188500000000001
bare-metal-with-usernetes,2,32768.0,2.0,10.5,11.4305
bare-metal-with-usernetes,2,65536.0,2.0,10.5,14.056000000000001
bare-metal-with-usernetes,2,131072.0,2.0,10.5,34.0485
bare-metal-with-usernetes,2,262144.0,2.0,10.5,44.2135
bare-metal-with-usernetes,2,524288.0,2.0,10.5,80.9875
bare-metal-with-usernetes,2,1048576.0,2.0,10.5,77.90950000000001
bare-metal-with-usernetes,2,2097152.0,2.0,10.5,156.46949999999998
bare-metal-with-usernetes,2,4194304.0,2.0,10.5,239.3515
container,2,0.0,2.0,10.5,7.4670000000000005
container,2,1.0,2.0,10.5,7.4959999999999996
container,2,2.0,2.0,10.5,7.478999999999999
container,2,4.0,2.0,10.5,7.484999999999999
container,2,8.0,2.0,10.5,7.793499999999999
container,2,16.0,2.0,10.5,7.795
container,2,32.0,2.0,10.5,7.793999999999999
container,2,64.0,2.0,10.5,7.909499999999999
container,2,128.0,2.0,10.5,7.923499999999999
container,2,256.0,2.0,10.5,7.9350000000000005
container,2,512.0,2.0,10.5,7.973999999999999
container,2,1024.0,2.0,10.5,8.077000000000002
container,2,2048.0,2.0,10.5,8.342500000000003
container,2,4096.0,2.0,10.5,8.7705
container,2,8192.0,2.0,10.5,9.591000000000003
container,2,16384.0,2.0,10.5,10.1885
container,2,32768.0,2.0,10.5,11.419500000000003
container,2,65536.0,2.0,10.5,14.004
container,2,131072.0,2.0,10.5,33.96399999999999
container,2,262144.0,2.0,10.5,44.07949999999999
container,2,524288.0,2.0,10.5,80.67749999999998
container,2,1048576.0,2.0,10.5,77.86249999999998
container,2,2097152.0,2.0,10.5,156.3435
container,2,4194304.0,2.0,10.5,238.96349999999998
container-with-usernetes,2,0.0,2.0,10.5,7.460499999999999
container-with-usernetes,2,1.0,2.0,10.5,7.489499999999998
container-with-usernetes,2,2.0,2.0,10.5,7.4784999999999995
container-with-usernetes,2,4.0,2.0,10.5,7.482499999999999
container-with-usernetes,2,8.0,2.0,10.5,7.787500000000003
container-with-usernetes,2,16.0,2.0,10.5,7.788500000000001
container-with-usernetes,2,32.0,2.0,10.5,7.787500000000001
container-with-usernetes,2,64.0,2.0,10.5,7.899500000000001
container-with-usernetes,2,128.0,2.0,10.5,7.914500000000001
container-with-usernetes,2,256.0,2.0,10.5,7.929999999999998
container-with-usernetes,2,512.0,2.0,10.5,7.9700000000000015
container-with-usernetes,2,1024.0,2.0,10.5,8.0655
container-with-usernetes,2,2048.0,2.0,10.5,8.34
container-with-usernetes,2,4096.0,2.0,10.5,8.767
