experiment,size,ranks,iteration,average_latency_us,nodes
bare-metal,0.0,2.0,10.5,7.4595,2.0
bare-metal,1.0,2.0,10.5,7.4864999999999995,2.0
bare-metal,2.0,2.0,10.5,7.472500000000001,2.0
bare-metal,4.0,2.0,10.5,7.476000000000001,2.0
bare-metal,8.0,2.0,10.5,7.776500000000001,2.0
bare-metal,16.0,2.0,10.5,7.776500000000001,2.0
bare-metal,32.0,2.0,10.5,7.779000000000001,2.0
bare-metal,64.0,2.0,10.5,7.890500000000001,2.0
bare-metal,128.0,2.0,10.5,7.902499999999999,2.0
bare-metal,256.0,2.0,10.5,7.915499999999997,2.0
bare-metal,512.0,2.0,10.5,7.954999999999998,2.0
bare-metal,1024.0,2.0,10.5,8.053999999999998,2.0
bare-metal,2048.0,2.0,10.5,8.330500000000002,2.0
bare-metal,4096.0,2.0,10.5,8.7575,2.0
bare-metal,8192.0,2.0,10.5,9.569000000000003,2.0
bare-metal,16384.0,2.0,10.5,10.161999999999997,2.0
bare-metal,32768.0,2.0,10.5,11.389000000000003,2.0
bare-metal,65536.0,2.0,10.5,13.985499999999998,2.0
bare-metal,131072.0,2.0,10.5,33.931000000000004,2.0
bare-metal,262144.0,2.0,10.5,44.0675,2.0
bare-metal,524288.0,2.0,10.5,80.7285,2.0
bare-metal,1048576.0,2.0,10.5,77.86449999999999,2.0
bare-metal,2097152.0,2.0,10.5,156.3665,2.0
bare-metal,4194304.0,2.0,10.5,239.3435,2.0
bare-metal-with-usernetes,0.0,2.0,10.5,7.469000000000001,2.0
bare-metal-with-usernetes,1.0,2.0,10.5,7.4944999999999995,2.0
bare-metal-with-usernetes,2.0,2.0,10.5,7.4799999999999995,2.0
bare-metal-with-usernetes,4.0,2.0,10.5,7.484999999999999,2.0
bare-metal-with-usernetes,8.0,2.0,10.5,7.784000000000001,2.0
bare-metal-with-usernetes,16.0,2.0,10.5,7.787500000000001,2.0
bare-metal-with-usernetes,32.0,2.0,10.5,7.789500000000001,2.0
bare-metal-with-usernetes,64.0,2.0,10.5,7.901999999999999,2.0
bare-metal-with-usernetes,128.0,2.0,10.5,7.9140000000000015,2.0
bare-metal-with-usernetes,256.0,2.0,10.5,7.9305,2.0
bare-metal-with-usernetes,512.0,2.0,10.5,7.967999999999999,2.0
bare-metal-with-usernetes,1024.0,2.0,10.5,8.065000000000001,2.0
bare-metal-with-usernetes,2048.0,2.0,10.5,8.335000000000003,2.0
bare-metal-with-usernetes,4096.0,2.0,10.5,8.764499999999998,2.0
bare-metal-with-usernetes,8192.0,2.0,10.5,9.5765,2.0
bare-metal-with-usernetes,16384.0,2.0,10.5,10.188500000000001,2.0
bare-metal-with-usernetes,32768.0,2.0,10.5,11.4305,2.0
bare-metal-with-usernetes,65536.0,2.0,10.5,14.056000000000001,2.0
bare-metal-with-usernetes,131072.0,2.0,10.5,34.0485,2.0
bare-metal-with-usernetes,262144.0,2.0,10.5,44.2135,2.0
bare-metal-with-usernetes,524288.0,2.0,10.5,80.9875,2.0
bare-metal-with-usernetes,1048576.0,2.0,10.5,77.90950000000001,2.0
bare-metal-with-usernetes,2097152.0,2.0,10.5,156.46949999999998,2.0
bare-metal-with-usernetes,4194304.0,2.0,10.5,239.3515,2.0
container,0.0,2.0,10.5,7.4670000000000005,2.0
container,1.0,2.0,10.5,7.4959999999999996,2.0
container,2.0,2.0,10.5,7.478999999999999,2.0
container,4.0,2.0,10.5,7.484999999999999,2.0
container,8.0,2.0,10.5,7.793499999999999,2.0
container,16.0,2.0,10.5,7.795,2.0
container,32.0,2.0,10.5,7.793999999999999,2.0
container,64.0,2.0,10.5,7.909499999999999,2.0
container,128.0,2.0,10.5,7.923499999999999,2.0
container,256.0,2.0,10.5,7.9350000000000005,2.0
container,512.0,2.0,10.5,7.973999999999999,2.0
container,1024.0,2.0,10.5,8.077000000000002,2.0
container,2048.0,2.0,10.5,8.342500000000003,2.0
container,4096.0,2.0,10.5,8.7705,2.0
container,8192.0,2.0,10.5,9.591000000000003,2.0
container,16384.0,2.0,10.5,10.1885,2.0
container,32768.0,2.0,10.5,11.419500000000003,2.0
container,65536.0,2.0,10.5,14.004,2.0
container,131072.0,2.0,10.5,33.96399999999999,2.0
container,262144.0,2.0,10.5,44.07949999999999,2.0
container,524288.0,2.0,10.5,80.67749999999998,2.0
container,1048576.0,2.0,10.5,77.86249999999998,2.0
container,2097152.0,2.0,10.5,156.3435,2.0
container,4194304.0,2.0,10.5,238.96349999999998,2.0
container-with-usernetes,0.0,2.0,10.5,7.460499999999999,2.0
container-with-usernetes,1.0,2.0,10.5,7.489499999999998,2.0
container-with-usernetes,2.0,2.0,10.5,7.4784999999999995,2.0
container-with-usernetes,4.0,2.0,10.5,7.482499999999999,2.0
container-with-usernetes,8.0,2.0,10.5,7.787500000000003,2.0
container-with-usernetes,16.0,2.0,10.5,7.788500000000001,2.0
container-with-usernetes,32.0,2.0,10.5,7.787500000000001,2.0
container-with-usernetes,64.0,2.0,10.5,7.899500000000001,2.0
container-with-usernetes,128.0,2.0,10.5,7.914500000000001,2.0
container-with-usernetes,256.0,2.0,10.5,7.929999999999998,2.0
container-with-usernetes,512.0,2.0,10.5,7.9700000000000015,2.0
container-with-usernetes,1024.0,2.0,10.5,8.0655,2.0
container-with-usernetes,2048.0,2.0,10.5,8.34,2.0
container-with-usernetes,4096.0,2.0,10.5,8.767,2.0
container-with-usernetes,8192.0,2.0,10.5,9.581,2.0
container-with-usernetes,16384.0,2.0,10.5,10.1835,2.0
container-with-usernetes,32768.0,2.0,10.5,11.4235,2.0
container-with-usernetes,65536.0,2.0,10.5,13.979500000000002,2.0
container-with-usernetes,131072.0,2.0,10.5,34.0045,2.0
container-with-usernetes,262144.0,2.0,10.5,44.157500000000006,2.0
container-with-usernetes,524288.0,2.0,10.5,80.85,2.0
container-with-usernetes,1048576.0,2.0,10.5,77.85699999999999,2.0
container-with-usernetes,2097152.0,2.0,10.5,156.33400000000003,2.0
container-with-usernetes,4194304.0,2.0,10.5,239.43100000000004,2.0
usernetes,0.0,2.0,10.5,12.3075,2.0
usernetes,1.0,2.0,10.5,12.334500000000002,2.0
usernetes,2.0,2.0,10.5,12.317000000000002,2.0
usernetes,4.0,2.0,10.5,12.316999999999998,2.0
usernetes,8.0,2.0,10.5,12.6305,2.0
usernetes,16.0,2.0,10.5,12.641000000000002,2.0
usernetes,32.0,2.0,10.5,12.651000000000002,2.0
usernetes,64.0,2.0,10.5,12.7815,2.0
usernetes,128.0,2.0,10.5,12.7945,2.0
usernetes,256.0,2.0,10.5,12.821499999999997,2.0
usernetes,512.0,2.0,10.5,12.876500000000002,2.0
usernetes,1024.0,2.0,10.5,13.020499999999998,2.0
usernetes,2048.0,2.0,10.5,13.355,2.0
usernetes,4096.0,2.0,10.5,14.2215,2.0
usernetes,8192.0,2.0,10.5,15.995500000000002,2.0
usernetes,16384.0,2.0,10.5,16.644,2.0
usernetes,32768.0,2.0,10.5,17.901500000000006,2.0
usernetes,65536.0,2.0,10.5,20.445999999999998,2.0
usernetes,131072.0,2.0,10.5,52.0735,2.0
usernetes,262144.0,2.0,10.5,62.117,2.0
usernetes,524288.0,2.0,10.5,110.22749999999999,2.0
usernetes,1048576.0,2.0,10.5,94.0575,2.0
usernetes,2097152.0,2.0,10.5,167.1805,2.0
usernetes,4194304.0,2.0,10.5,263.6845,2.0
