,ranks,experiment,iteration,size,average_latency_us,nodes
0,64,bare-metal,8,4.0,31.99,4
1,64,bare-metal,8,8.0,32.16,4
2,64,bare-metal,8,16.0,32.78,4
3,64,bare-metal,8,32.0,32.12,4
4,64,bare-metal,8,64.0,32.45,4
5,64,bare-metal,8,128.0,33.14,4
6,64,bare-metal,8,256.0,35.43,4
7,64,bare-metal,8,512.0,33.77,4
8,64,bare-metal,8,1024.0,35.02,4
9,64,bare-metal,8,2048.0,37.09,4
10,64,bare-metal,8,4096.0,62.21,4
11,64,bare-metal,8,8192.0,86.71,4
12,64,bare-metal,8,16384.0,108.75,4
13,64,bare-metal,8,32768.0,148.48,4
14,64,bare-metal,8,65536.0,228.8,4
15,64,bare-metal,8,131072.0,449.68,4
16,64,bare-metal,8,262144.0,249.09,4
17,64,bare-metal,8,524288.0,399.6,4
18,64,bare-metal,8,1048576.0,705.19,4
19,64,bare-metal,20,4.0,32.21,4
20,64,bare-metal,20,8.0,32.43,4
21,64,bare-metal,20,16.0,32.43,4
22,64,bare-metal,20,32.0,32.09,4
23,64,bare-metal,20,64.0,32.51,4
24,64,bare-metal,20,128.0,32.86,4
25,64,bare-metal,20,256.0,33.41,4
26,64,bare-metal,20,512.0,33.92,4
27,64,bare-metal,20,1024.0,34.99,4
28,64,bare-metal,20,2048.0,37.08,4
29,64,bare-metal,20,4096.0,62.39,4
30,64,bare-metal,20,8192.0,86.99,4
31,64,bare-metal,20,16384.0,109.15,4
32,64,bare-metal,20,32768.0,148.79,4
33,64,bare-metal,20,65536.0,230.12,4
34,64,bare-metal,20,131072.0,448.1,4
35,64,bare-metal,20,262144.0,249.11,4
36,64,bare-metal,20,524288.0,397.89,4
37,64,bare-metal,20,1048576.0,704.37,4
38,512,bare-metal,18,4.0,102.52,32
39,512,bare-metal,18,8.0,100.73,32
40,512,bare-metal,18,16.0,100.75,32
41,512,bare-metal,18,32.0,101.78,32
42,512,bare-metal,18,64.0,103.07,32
43,512,bare-metal,18,128.0,102.66,32
44,512,bare-metal,18,256.0,103.48,32
45,512,bare-metal,18,512.0,104.72,32
46,512,bare-metal,18,1024.0,108.4,32
47,512,bare-metal,18,2048.0,94.79,32
48,512,bare-metal,18,4096.0,152.63,32
49,512,bare-metal,18,8192.0,186.46,32
50,512,bare-metal,18,16384.0,188.87,32
51,512,bare-metal,18,32768.0,197.85,32
52,512,bare-metal,18,65536.0,216.15,32
53,512,bare-metal,18,131072.0,272.77,32
54,512,bare-metal,18,262144.0,357.32,32
55,512,bare-metal,18,524288.0,535.67,32
56,512,bare-metal,18,1048576.0,872.78,32
57,64,bare-metal,6,4.0,31.94,4
58,64,bare-metal,6,8.0,32.62,4
59,64,bare-metal,6,16.0,32.19,4
60,64,bare-metal,6,32.0,32.17,4
61,64,bare-metal,6,64.0,32.2,4
62,64,bare-metal,6,128.0,32.52,4
63,64,bare-metal,6,256.0,33.45,4
64,64,bare-metal,6,512.0,33.78,4
65,64,bare-metal,6,1024.0,35.2,4
66,64,bare-metal,6,2048.0,37.32,4
67,64,bare-metal,6,4096.0,62.84,4
68,64,bare-metal,6,8192.0,87.14,4
69,64,bare-metal,6,16384.0,109.08,4
70,64,bare-metal,6,32768.0,147.93,4
71,64,bare-metal,6,65536.0,229.07,4
72,64,bare-metal,6,131072.0,448.93,4
73,64,bare-metal,6,262144.0,247.55,4
74,64,bare-metal,6,524288.0,400.75,4
75,64,bare-metal,6,1048576.0,703.09,4
76,64,bare-metal,3,4.0,32.33,4
77,64,bare-metal,3,8.0,32.31,4
78,64,bare-metal,3,16.0,32.2,4
79,64,bare-metal,3,32.0,32.02,4
80,64,bare-metal,3,64.0,32.17,4
81,64,bare-metal,3,128.0,32.76,4
82,64,bare-metal,3,256.0,33.66,4
83,64,bare-metal,3,512.0,33.87,4
84,64,bare-metal,3,1024.0,35.03,4
85,64,bare-metal,3,2048.0,36.99,4
86,64,bare-metal,3,4096.0,62.7,4
87,64,bare-metal,3,8192.0,87.44,4
88,64,bare-metal,3,16384.0,108.98,4
89,64,bare-metal,3,32768.0,147.86,4
90,64,bare-metal,3,65536.0,228.3,4
91,64,bare-metal,3,131072.0,448.73,4
92,64,bare-metal,3,262144.0,247.88,4
93,64,bare-metal,3,524288.0,409.08,4
94,64,bare-metal,3,1048576.0,704.35,4
95,128,bare-metal,17,4.0,82.98,8
96,128,bare-metal,17,8.0,83.75,8
97,128,bare-metal,17,16.0,83.91,8
98,128,bare-metal,17,32.0,83.76,8
99,128,bare-metal,17,64.0,84.32,8
100,128,bare-metal,17,128.0,85.72,8
101,128,bare-metal,17,256.0,86.73,8
102,128,bare-metal,17,512.0,87.51,8
103,128,bare-metal,17,1024.0,89.09,8
104,128,bare-metal,17,2048.0,92.97,8
105,128,bare-metal,17,4096.0,103.37,8
106,128,bare-metal,17,8192.0,131.85,8
107,128,bare-metal,17,16384.0,150.36,8
108,128,bare-metal,17,32768.0,207.33,8
109,128,bare-metal,17,65536.0,260.1,8
110,128,bare-metal,17,131072.0,606.73,8
111,128,bare-metal,17,262144.0,286.95,8
112,128,bare-metal,17,524288.0,473.46,8
113,128,bare-metal,17,1048576.0,777.08,8
114,128,bare-metal,5,4.0,82.95,8
115,128,bare-metal,5,8.0,84.34,8
116,128,bare-metal,5,16.0,84.14,8
117,128,bare-metal,5,32.0,83.95,8
118,128,bare-metal,5,64.0,84.27,8
119,128,bare-metal,5,128.0,84.56,8
120,128,bare-metal,5,256.0,86.24,8
121,128,bare-metal,5,512.0,88.12,8
122,128,bare-metal,5,1024.0,89.37,8
123,128,bare-metal,5,2048.0,92.93,8
124,128,bare-metal,5,4096.0,103.31,8
125,128,bare-metal,5,8192.0,131.04,8
126,128,bare-metal,5,16384.0,151.71,8
127,128,bare-metal,5,32768.0,207.69,8
128,128,bare-metal,5,65536.0,253.29,8
129,128,bare-metal,5,131072.0,603.78,8
130,128,bare-metal,5,262144.0,289.93,8
131,128,bare-metal,5,524288.0,467.75,8
132,128,bare-metal,5,1048576.0,771.1,8
133,64,bare-metal,2,4.0,32.29,4
134,64,bare-metal,2,8.0,32.2,4
135,64,bare-metal,2,16.0,32.19,4
136,64,bare-metal,2,32.0,32.05,4
137,64,bare-metal,2,64.0,32.37,4
138,64,bare-metal,2,128.0,32.76,4
139,64,bare-metal,2,256.0,33.57,4
140,64,bare-metal,2,512.0,33.91,4
141,64,bare-metal,2,1024.0,35.24,4
142,64,bare-metal,2,2048.0,37.23,4
143,64,bare-metal,2,4096.0,62.45,4
144,64,bare-metal,2,8192.0,87.58,4
145,64,bare-metal,2,16384.0,110.1,4
146,64,bare-metal,2,32768.0,149.8,4
147,64,bare-metal,2,65536.0,231.56,4
148,64,bare-metal,2,131072.0,452.38,4
149,64,bare-metal,2,262144.0,251.33,4
150,64,bare-metal,2,524288.0,405.54,4
151,64,bare-metal,2,1048576.0,707.15,4
152,256,bare-metal,3,4.0,88.66,16
153,256,bare-metal,3,8.0,88.91,16
154,256,bare-metal,3,16.0,88.6,16
155,256,bare-metal,3,32.0,88.5,16
156,256,bare-metal,3,64.0,89.4,16
157,256,bare-metal,3,128.0,89.73,16
158,256,bare-metal,3,256.0,92.02,16
159,256,bare-metal,3,512.0,93.22,16
160,256,bare-metal,3,1024.0,94.53,16
161,256,bare-metal,3,2048.0,97.98,16
162,256,bare-metal,3,4096.0,133.92,16
163,256,bare-metal,3,8192.0,136.96,16
164,256,bare-metal,3,16384.0,141.97,16
165,256,bare-metal,3,32768.0,153.9,16
166,256,bare-metal,3,65536.0,171.34,16
167,256,bare-metal,3,131072.0,228.6,16
168,256,bare-metal,3,262144.0,316.22,16
169,256,bare-metal,3,524288.0,498.6,16
170,256,bare-metal,3,1048576.0,837.72,16
