,ranks,experiment,iteration,size,average_latency_us,nodes
0,2,usernetes,10,1.0,1.33,2
1,2,usernetes,10,2.0,2.78,2
2,2,usernetes,10,4.0,5.62,2
3,2,usernetes,10,8.0,11.3,2
4,2,usernetes,10,16.0,22.6,2
5,2,usernetes,10,32.0,45.21,2
6,2,usernetes,10,64.0,84.65,2
7,2,usernetes,10,128.0,168.73,2
8,2,usernetes,10,256.0,334.62,2
9,2,usernetes,10,512.0,657.44,2
10,2,usernetes,10,1024.0,1249.17,2
11,2,usernetes,10,2048.0,2143.18,2
12,2,usernetes,10,4096.0,3656.91,2
13,2,usernetes,10,8192.0,6180.41,2
14,2,usernetes,10,16384.0,7834.35,2
15,2,usernetes,10,32768.0,9845.85,2
16,2,usernetes,10,65536.0,10635.51,2
17,2,usernetes,10,131072.0,13383.22,2
18,2,usernetes,10,262144.0,13737.8,2
19,2,usernetes,10,524288.0,13949.32,2
20,2,usernetes,10,1048576.0,23379.77,2
21,2,usernetes,10,2097152.0,23835.58,2
22,2,usernetes,10,4194304.0,24109.02,2
23,2,usernetes,11,1.0,1.3,2
24,2,usernetes,11,2.0,2.72,2
25,2,usernetes,11,4.0,5.5,2
26,2,usernetes,11,8.0,10.8,2
27,2,usernetes,11,16.0,22.09,2
28,2,usernetes,11,32.0,44.03,2
29,2,usernetes,11,64.0,82.79,2
30,2,usernetes,11,128.0,164.51,2
31,2,usernetes,11,256.0,326.45,2
32,2,usernetes,11,512.0,641.1,2
33,2,usernetes,11,1024.0,1210.66,2
34,2,usernetes,11,2048.0,2090.78,2
35,2,usernetes,11,4096.0,3636.88,2
36,2,usernetes,11,8192.0,6037.34,2
37,2,usernetes,11,16384.0,7698.96,2
38,2,usernetes,11,32768.0,9503.48,2
39,2,usernetes,11,65536.0,11059.09,2
40,2,usernetes,11,131072.0,13314.58,2
41,2,usernetes,11,262144.0,13713.9,2
42,2,usernetes,11,524288.0,13932.54,2
43,2,usernetes,11,1048576.0,23300.64,2
44,2,usernetes,11,2097152.0,23816.22,2
45,2,usernetes,11,4194304.0,24110.15,2
46,2,usernetes,8,1.0,1.33,2
47,2,usernetes,8,2.0,2.73,2
48,2,usernetes,8,4.0,5.74,2
49,2,usernetes,8,8.0,11.43,2
50,2,usernetes,8,16.0,23.04,2
51,2,usernetes,8,32.0,45.81,2
52,2,usernetes,8,64.0,84.92,2
53,2,usernetes,8,128.0,170.08,2
54,2,usernetes,8,256.0,336.76,2
55,2,usernetes,8,512.0,663.1,2
56,2,usernetes,8,1024.0,1245.73,2
