,ranks,experiment,iteration,average_latency_us,nodes
0,64,bare-metal,18,46.57,4
1,256,bare-metal,7,109.3,16
2,512,bare-metal,12,92.68,32
3,128,bare-metal,19,60.88,8
4,256,bare-metal,4,116.06,16
5,128,bare-metal,14,60.97,8
6,256,bare-metal,6,111.48,16
7,64,bare-metal,13,46.49,4
8,64,bare-metal,6,47.1,4
9,64,bare-metal,19,46.42,4
10,128,bare-metal,12,61.0,8
11,128,bare-metal,17,60.82,8
12,64,bare-metal,14,47.13,4
13,256,bare-metal,12,109.36,16
14,256,bare-metal,1,108.93,16
15,64,bare-metal,16,46.62,4
16,512,bare-metal,11,92.88,32
17,256,bare-metal,14,109.54,16
18,128,bare-metal,18,61.18,8
19,256,bare-metal,13,109.25,16
20,128,bare-metal,6,60.93,8
21,128,bare-metal,15,60.56,8
22,64,bare-metal,12,46.61,4
23,256,bare-metal,20,108.92,16
24,512,bare-metal,16,91.49,32
25,256,bare-metal,18,109.15,16
26,64,bare-metal,10,46.73,4
27,64,bare-metal,17,46.61,4
28,512,bare-metal,3,91.91,32
29,64,bare-metal,8,46.97,4
30,128,bare-metal,16,60.8,8
31,512,bare-metal,2,93.25,32
32,256,bare-metal,9,109.2,16
33,128,bare-metal,4,60.86,8
34,512,bare-metal,8,91.36,32
35,256,bare-metal,5,109.13,16
36,256,bare-metal,3,110.09,16
37,128,bare-metal,20,61.38,8
38,64,bare-metal,1,46.93,4
39,64,bare-metal,11,46.86,4
40,512,bare-metal,4,92.36,32
41,256,bare-metal,11,109.18,16
42,128,bare-metal,8,60.98,8
43,128,bare-metal,9,60.75,8
44,128,bare-metal,10,60.87,8
45,512,bare-metal,17,91.21,32
46,256,bare-metal,15,111.63,16
47,128,bare-metal,2,60.59,8
48,64,bare-metal,15,46.96,4
49,256,bare-metal,2,109.38,16
50,64,bare-metal,7,46.75,4
51,512,bare-metal,9,93.06,32
52,128,bare-metal,7,60.69,8
53,256,bare-metal,8,109.04,16
54,512,bare-metal,15,91.19,32
55,512,bare-metal,10,97.97,32
56,512,bare-metal,20,94.81,32
57,256,bare-metal,19,109.26,16
58,64,bare-metal,5,47.31,4
59,128,bare-metal,3,61.03,8
60,128,bare-metal,1,60.76,8
61,512,bare-metal,1,94.24,32
62,512,bare-metal,18,92.02,32
63,512,bare-metal,6,91.61,32
64,64,bare-metal,20,46.58,4
65,128,bare-metal,5,60.53,8
66,256,bare-metal,17,108.75,16
67,128,bare-metal,11,60.88,8
68,64,bare-metal,9,46.52,4
69,512,bare-metal,5,91.47,32
70,128,bare-metal,13,60.76,8
71,64,bare-metal,4,46.55,4
72,256,bare-metal,10,120.38,16
73,512,bare-metal,19,91.54,32
74,64,bare-metal,3,46.91,4
75,512,bare-metal,14,91.81,32
76,512,bare-metal,13,93.72,32
77,256,bare-metal,16,109.17,16
78,512,bare-metal,7,91.28,32
79,64,bare-metal,2,46.57,4
80,64,container-with-usernetes,18,48.81,4
81,256,container-with-usernetes,7,117.47,16
82,512,container-with-usernetes,12,180.03,32
83,128,container-with-usernetes,19,64.39,8
84,256,container-with-usernetes,4,111.53,16
85,128,container-with-usernetes,14,65.98,8
86,256,container-with-usernetes,6,112.63,16
87,64,container-with-usernetes,13,49.2,4
88,64,container-with-usernetes,6,51.05,4
89,64,container-with-usernetes,19,48.05,4
90,128,container-with-usernetes,12,86.04,8
91,128,container-with-usernetes,17,63.25,8
92,64,container-with-usernetes,14,52.4,4
93,256,container-with-usernetes,12,119.27,16
94,256,container-with-usernetes,1,113.82,16
95,64,container-with-usernetes,16,48.46,4
96,512,container-with-usernetes,11,105.32,32
97,256,container-with-usernetes,14,146.9,16
98,128,container-with-usernetes,18,64.42,8
99,256,container-with-usernetes,13,132.86,16
100,128,container-with-usernetes,6,64.21,8
101,128,container-with-usernetes,15,66.74,8
102,64,container-with-usernetes,12,48.69,4
103,256,container-with-usernetes,20,129.1,16
104,512,container-with-usernetes,16,126.12,32
105,256,container-with-usernetes,18,121.17,16
106,64,container-with-usernetes,10,51.25,4
107,64,container-with-usernetes,17,49.67,4
108,512,container-with-usernetes,3,108.06,32
109,64,container-with-usernetes,8,48.51,4
110,128,container-with-usernetes,16,65.16,8
111,512,container-with-usernetes,2,134.17,32
112,256,container-with-usernetes,9,124.93,16
113,128,container-with-usernetes,4,65.9,8
114,512,container-with-usernetes,8,138.91,32
115,256,container-with-usernetes,5,119.0,16
116,256,container-with-usernetes,3,125.55,16
117,128,container-with-usernetes,20,64.95,8
118,64,container-with-usernetes,1,48.2,4
119,64,container-with-usernetes,11,49.11,4
120,512,container-with-usernetes,4,174.63,32
121,256,container-with-usernetes,11,113.31,16
122,128,container-with-usernetes,8,65.61,8
123,128,container-with-usernetes,9,64.42,8
124,128,container-with-usernetes,10,74.79,8
125,512,container-with-usernetes,17,134.59,32
126,256,container-with-usernetes,15,131.36,16
127,128,container-with-usernetes,2,88.22,8
128,64,container-with-usernetes,15,48.46,4
129,256,container-with-usernetes,2,130.12,16
130,64,container-with-usernetes,7,54.46,4
131,512,container-with-usernetes,9,119.17,32
132,128,container-with-usernetes,7,64.07,8
133,256,container-with-usernetes,8,122.37,16
134,512,container-with-usernetes,15,145.66,32
135,512,container-with-usernetes,10,123.6,32
136,512,container-with-usernetes,20,112.14,32
137,256,container-with-usernetes,19,120.3,16
138,64,container-with-usernetes,5,47.48,4
139,128,container-with-usernetes,3,63.2,8
140,128,container-with-usernetes,1,68.06,8
141,512,container-with-usernetes,1,111.42,32
142,512,container-with-usernetes,18,150.77,32
143,512,container-with-usernetes,6,118.34,32
144,64,container-with-usernetes,20,72.17,4
145,128,container-with-usernetes,5,67.6,8
146,256,container-with-usernetes,17,134.33,16
147,128,container-with-usernetes,11,70.16,8
148,64,container-with-usernetes,9,49.0,4
149,512,container-with-usernetes,5,146.78,32
150,128,container-with-usernetes,13,82.76,8
151,64,container-with-usernetes,4,50.5,4
152,256,container-with-usernetes,10,121.04,16
153,512,container-with-usernetes,19,116.11,32
154,64,container-with-usernetes,3,49.06,4
155,512,container-with-usernetes,14,114.46,32
156,512,container-with-usernetes,13,117.03,32
157,256,container-with-usernetes,16,111.73,16
158,512,container-with-usernetes,7,153.1,32
159,64,container-with-usernetes,2,48.24,4
160,64,bare-metal-with-usernetes,18,48.88,4
161,256,bare-metal-with-usernetes,7,117.83,16
162,512,bare-metal-with-usernetes,12,120.78,32
163,128,bare-metal-with-usernetes,19,65.7,8
164,256,bare-metal-with-usernetes,4,139.09,16
165,128,bare-metal-with-usernetes,14,65.79,8
166,256,bare-metal-with-usernetes,6,119.16,16
167,64,bare-metal-with-usernetes,13,48.36,4
168,64,bare-metal-with-usernetes,6,48.52,4
169,64,bare-metal-with-usernetes,19,47.98,4
170,128,bare-metal-with-usernetes,12,71.85,8
171,128,bare-metal-with-usernetes,17,65.74,8
172,64,bare-metal-with-usernetes,14,47.97,4
173,256,bare-metal-with-usernetes,12,113.88,16
174,256,bare-metal-with-usernetes,1,124.59,16
175,64,bare-metal-with-usernetes,16,47.77,4
176,512,bare-metal-with-usernetes,11,115.86,32
177,256,bare-metal-with-usernetes,14,122.51,16
178,128,bare-metal-with-usernetes,18,64.89,8
179,256,bare-metal-with-usernetes,13,135.31,16
180,128,bare-metal-with-usernetes,6,68.99,8
181,128,bare-metal-with-usernetes,15,63.95,8
182,64,bare-metal-with-usernetes,12,48.61,4
183,256,bare-metal-with-usernetes,20,115.39,16
184,512,bare-metal-with-usernetes,16,123.23,32
