,ranks,experiment,iteration,size,average_latency_us,nodes
0,2,bare-metal,9,0.0,7.44,2
1,2,bare-metal,9,1.0,7.46,2
2,2,bare-metal,9,2.0,7.45,2
3,2,bare-metal,9,4.0,7.46,2
4,2,bare-metal,9,8.0,7.76,2
5,2,bare-metal,9,16.0,7.76,2
6,2,bare-metal,9,32.0,7.76,2
7,2,bare-metal,9,64.0,7.87,2
8,2,bare-metal,9,128.0,7.88,2
9,2,bare-metal,9,256.0,7.89,2
10,2,bare-metal,9,512.0,7.93,2
11,2,bare-metal,9,1024.0,8.02,2
12,2,bare-metal,9,2048.0,8.35,2
13,2,bare-metal,9,4096.0,8.79,2
14,2,bare-metal,9,8192.0,9.56,2
15,2,bare-metal,9,16384.0,10.17,2
16,2,bare-metal,9,32768.0,11.42,2
17,2,bare-metal,9,65536.0,13.94,2
18,2,bare-metal,9,131072.0,33.99,2
19,2,bare-metal,9,262144.0,44.24,2
20,2,bare-metal,9,524288.0,80.81,2
21,2,bare-metal,9,1048576.0,78.04,2
22,2,bare-metal,9,2097152.0,156.35,2
23,2,bare-metal,9,4194304.0,239.75,2
24,2,bare-metal,5,0.0,7.46,2
25,2,bare-metal,5,1.0,7.49,2
26,2,bare-metal,5,2.0,7.47,2
27,2,bare-metal,5,4.0,7.48,2
28,2,bare-metal,5,8.0,7.79,2
29,2,bare-metal,5,16.0,7.79,2
30,2,bare-metal,5,32.0,7.79,2
31,2,bare-metal,5,64.0,7.91,2
32,2,bare-metal,5,128.0,7.91,2
33,2,bare-metal,5,256.0,7.92,2
34,2,bare-metal,5,512.0,7.96,2
35,2,bare-metal,5,1024.0,8.06,2
36,2,bare-metal,5,2048.0,8.33,2
37,2,bare-metal,5,4096.0,8.77,2
38,2,bare-metal,5,8192.0,9.59,2
39,2,bare-metal,5,16384.0,10.18,2
40,2,bare-metal,5,32768.0,11.46,2
41,2,bare-metal,5,65536.0,13.97,2
42,2,bare-metal,5,131072.0,33.97,2
43,2,bare-metal,5,262144.0,44.07,2
44,2,bare-metal,5,524288.0,80.75,2
45,2,bare-metal,5,1048576.0,77.91,2
46,2,bare-metal,5,2097152.0,156.65,2
47,2,bare-metal,5,4194304.0,239.39,2
48,2,bare-metal,11,0.0,7.47,2
49,2,bare-metal,11,1.0,7.5,2
50,2,bare-metal,11,2.0,7.5,2
51,2,bare-metal,11,4.0,7.49,2
52,2,bare-metal,11,8.0,7.79,2
53,2,bare-metal,11,16.0,7.79,2
54,2,bare-metal,11,32.0,7.8,2
55,2,bare-metal,11,64.0,7.9,2
56,2,bare-metal,11,128.0,7.92,2
57,2,bare-metal,11,256.0,7.94,2
58,2,bare-metal,11,512.0,7.98,2
59,2,bare-metal,11,1024.0,8.07,2
60,2,bare-metal,11,2048.0,8.34,2
61,2,bare-metal,11,4096.0,8.76,2
62,2,bare-metal,11,8192.0,9.58,2
63,2,bare-metal,11,16384.0,10.16,2
64,2,bare-metal,11,32768.0,11.4,2
65,2,bare-metal,11,65536.0,13.95,2
66,2,bare-metal,11,131072.0,33.91,2
67,2,bare-metal,11,262144.0,43.99,2
68,2,bare-metal,11,524288.0,80.73,2
69,2,bare-metal,11,1048576.0,78.22,2
70,2,bare-metal,11,2097152.0,156.47,2
71,2,bare-metal,11,4194304.0,238.7,2
72,2,bare-metal,15,0.0,7.45,2
73,2,bare-metal,15,1.0,7.49,2
74,2,bare-metal,15,2.0,7.47,2
75,2,bare-metal,15,4.0,7.47,2
76,2,bare-metal,15,8.0,7.77,2
77,2,bare-metal,15,16.0,7.76,2
78,2,bare-metal,15,32.0,7.77,2
79,2,bare-metal,15,64.0,7.86,2
80,2,bare-metal,15,128.0,7.86,2
81,2,bare-metal,15,256.0,7.88,2
82,2,bare-metal,15,512.0,7.92,2
83,2,bare-metal,15,1024.0,8.02,2
84,2,bare-metal,15,2048.0,8.33,2
85,2,bare-metal,15,4096.0,8.81,2
86,2,bare-metal,15,8192.0,9.58,2
87,2,bare-metal,15,16384.0,10.14,2
